video_id,title,published_at,video_url,view_count,like_count,comment_count,duration,description,content_pillar,hook_type,engagement_proxy
QZ9Cbr56Zg0,"turns out the universal language is math, and u had the app the whole time #DisclosureDay #Spielberg",2026-06-19,https://www.youtube.com/shorts/QZ9Cbr56Zg0,170130,5292,532,15,,Product Feature / App Usage Content,Product Reminder,0.034233
Od7UscVA3ho,"the national team needs you, unlock your Duo Cup avatar suit! ⚽️",2026-06-18,https://www.youtube.com/shorts/Od7UscVA3ho,177590,4393,405,11,,Mascot Personality Content,Character-driven,0.027017
R_pbcmCqaz8,the beautiful game? flirting in another language 😍 @Tinder,2026-06-18,https://www.youtube.com/shorts/R_pbcmCqaz8,73992,2203,155,29,,Language Learning Reminder Content,Educational,0.031868
H9Db6pKXXBA,complete lessons and unlock 48 Duo Cup avatar suits 🏆,2026-06-16,https://www.youtube.com/shorts/H9Db6pKXXBA,160886,4823,561,11,,Mascot Personality Content,Character-driven,0.033465
JzH_Kzq7kN8,tell me what you got in the comments! @webtoonofficial,2026-06-12,https://www.youtube.com/shorts/JzH_Kzq7kN8,133961,4756,957,8,,Community Interaction Content,Other,0.042647
e-U_eRDhHFI,manifesting responsibly #nba #knicks,2026-06-10,https://www.youtube.com/shorts/e-U_eRDhHFI,232783,5019,337,5,,Other,Other,0.023009
FM7_QtU_XPg,king of yearning - i mean burning 🎨: @lleahistired,2026-06-10,https://www.youtube.com/shorts/FM7_QtU_XPg,180166,3829,353,7,,Other,Other,0.023212
3cC1tRfORzI,6.10.26,2026-06-08,https://www.youtube.com/shorts/3cC1tRfORzI,203983,6058,590,10,,Other,Other,0.032591
uxq4nS4qy5w,consider this a formal petition to add this category to ​⁠@LasCulturistas awards,2026-06-04,https://www.youtube.com/shorts/uxq4nS4qy5w,151394,4855,771,24,,Other,Other,0.037161
3IL4RLZmKyA,congrats it's a streak! (now go to the app and do it for real),2026-06-02,https://www.youtube.com/shorts/3IL4RLZmKyA,517920,32793,1200,10,,Language Learning Reminder Content,Product Reminder,0.065634
AJJ4TTIqB9c,omg we’re back again ‼️,2026-06-01,https://www.youtube.com/shorts/AJJ4TTIqB9c,301659,11025,1100,16,,Other,Other,0.040194
z3u-BaQgT3I,quit playing games with your streak 💔 bring it back before i change my mind,2026-06-01,https://www.youtube.com/shorts/z3u-BaQgT3I,243508,9719,1100,39,,Language Learning Reminder Content,Product Reminder,0.044430
6rumUmY0Iho,other apps can wait. I can’t. try focus mode today.,2026-05-27,https://www.youtube.com/shorts/6rumUmY0Iho,326772,9095,960,30,,Product Feature / App Usage Content,Product Reminder,0.030771
s4xKHzZIaYc,he had the nerve to ask for my manager after this #customerservice #animation,2026-05-22,https://www.youtube.com/shorts/s4xKHzZIaYc,297328,6964,457,23,,Other,Other,0.024959
TqE9HJNn1y0,"the name on the ID was ""Vincent Adultman"" #customerservice #animation",2026-05-21,https://www.youtube.com/shorts/TqE9HJNn1y0,288087,6208,321,22,,Other,Other,0.022663
ZwV-FioYE0I,getting nostalgic for the anime again… have some bts content #processwork @TitmouseInc,2026-05-18,https://www.youtube.com/shorts/ZwV-FioYE0I,300016,6238,533,11,,Other,Other,0.022569
OIooGjxLLdY,calling all rook-ies to the board,2026-05-15,https://www.youtube.com/shorts/OIooGjxLLdY,208669,5076,586,38,,Mascot Personality Content,Character-driven,0.027134
_sgei-Z6Wyg,Your closet just got an upgrade ✨ Avatar Suits are now on iOS. Collect all 6 before they’re gone.,2026-05-15,https://www.youtube.com/shorts/_sgei-Z6Wyg,389409,7900,697,11,,Other,Other,0.022077
UeZ9S_qRlLc,dress to impress ✨,2026-05-12,https://www.youtube.com/shorts/UeZ9S_qRlLc,993439,38207,2400,15,,Other,Other,0.040875
rxOyXPgTkMw,my screen time is 50% lessons and 50% fishing,2026-05-06,https://www.youtube.com/shorts/rxOyXPgTkMw,662354,20770,1500,26,,Language Learning Reminder Content,Product Reminder,0.033623
htXGFjFg3ZQ,"Golden Tempo, this one’s for you 🐎 #kentuckyderby #racing 🎨: @lleahistired",2026-05-05,https://www.youtube.com/shorts/htXGFjFg3ZQ,602169,14308,998,18,,Other,Other,0.025418
noc-LwCixkc,the limit does not exist with duolingo math ♾️,2026-05-04,https://www.youtube.com/shorts/noc-LwCixkc,293552,8078,699,39,,Mascot Personality Content,Character-driven,0.029899
GfY-Kz5owNk,"dubs vs. subs... one piece edition. watch our new series ""dubbed with duo"" on youtube now 🎯",2026-04-29,https://www.youtube.com/shorts/GfY-Kz5owNk,207707,4025,390,65,,Mascot Personality Content,Character-driven,0.021256
PvbTHFlcvcM,"chess is now on the web ♟️ don't keep oscar waiting, play today",2026-04-27,https://www.youtube.com/shorts/PvbTHFlcvcM,205923,3575,280,19,,Other,Other,0.018721
bUPyAfGtSxk,behind the scenes of lofi lily 💜✏️ did you catch all the easter eggs in the full video?,2026-04-24,https://www.youtube.com/shorts/bUPyAfGtSxk,237023,4694,276,31,,Mascot Personality Content,Character-driven,0.020968
XnD3vaF97TI,level up with us 🔥 advanced content is now available across our top 9 languages!,2026-04-22,https://www.youtube.com/shorts/XnD3vaF97TI,259270,5987,519,26,,Language Learning Reminder Content,Educational,0.025094
7VN1S_60o18,I don’t want to hear you say “I don’t know how to set up my chess board” ever again.,2026-04-16,https://www.youtube.com/shorts/7VN1S_60o18,269867,7417,841,30,,Other,Educational,0.030600
n2CsiLqojXk,cleaned out the basement and found some exclusive bts anime content #animation #processwork,2026-04-15,https://www.youtube.com/shorts/n2CsiLqojXk,344828,7707,388,19,,Other,Other,0.023475
RYeNfRCG_q8,space math is crucial and starts with knowing your arithmetic,2026-04-11,https://www.youtube.com/shorts/RYeNfRCG_q8,268090,3374,387,7,,Product Feature / App Usage Content,Other,0.014029
m622s0zvoxc,rekindled an old flame to teach you korean #owlastor #hazbinhotel ​⁠🎨: @lleahistired,2026-04-09,https://www.youtube.com/shorts/m622s0zvoxc,478997,10949,1200,8,,Mascot Personality Content,Character-driven,0.025363
